t1,t2
1625045438.363676010,1625045438.363671898
1625045440.364336830,1625045440.364331988
1625045442.364179410,1625045442.364183358
1625045444.364022690,1625045444.364025815
1625045446.363877550,1625045446.363879851
1625045448.363663950,1625045448.363665423
1625045450.364399650,1625045450.364400284
1625045452.365166930,1625045452.365166773
1625045454.364902650,1625045454.364901706
1625045456.364590210,1625045456.364588496
1625045458.365364890,1625045458.365362425
1625045460.364860890,1625045460.364857694
1625045462.364703870,1625045462.364699978
1625045464.364555970,1625045464.364551359
1625045466.365410850,1625045466.365405501
1625045468.366282550,1625045468.366276429
1625045470.366137750,1625045470.366130874
1625045472.366006610,1625045472.365998949
1625045474.365976430,1625045474.365967973
1625045476.365826170,1625045476.365816916
1625045478.365691910,1625045478.365681891
1625045480.365541850,1625045480.365534911
1625045482.366396030,1625045482.366410808
1625045484.367253050,1625045484.367291153
1625045486.367105150,1625045486.367166510
1625045488.366950410,1625045488.367035021
1625045490.366890310,1625045490.366998150
1625045492.367361690,1625045492.367492753
1625045494.367226830,1625045494.367381104
1625045496.367080610,1625045496.367258143
1625045498.366928370,1625045498.367129166
1625045500.366699770,1625045500.366923810
1625045502.367474170,1625045502.367721460
1625045504.368329410,1625045504.368599925
1625045506.368091850,1625045506.368385581
1625045508.367913470,1625045508.368230414
1625045510.367564330,1625045510.367904515
1625045512.368181490,1625045512.368544926
1625045514.367864630,1625045514.368251270
1625045516.367620630,1625045516.368030436
1625045518.368317930,1625045518.368750973
1625045520.368097210,1625045520.368553441
1625045522.367925190,1625045522.368404586
1625045524.367677470,1625045524.368180030
1625045526.367523430,1625045526.368049209
1625045528.368405690,1625045528.368954690
1625045530.369267150,1625045530.369839361
1625045532.369105050,1625045532.369700459
1625045534.368987670,1625045534.369606299
1625045536.369220410,1625045536.369862274
1625045538.369103110,1625045538.369768221
1625045540.368841770,1625045540.369530174
1625045542.368608090,1625045542.369319786
1625045544.369317650,1625045544.370052631
1625045546.369031470,1625045546.369789713
1625045548.368743210,1625045548.369524695
1625045550.369432890,1625045550.370237664
1625045552.370125770,1625045552.370953804
1625045554.369929450,1625045554.370780763
1625045556.370149590,1625045556.371024184
1625045558.369929830,1625045558.370827683
1625045560.369840210,1625045560.370761329
1625045562.369892710,1625045562.370837075
1625045564.369687030,1625045564.370654639
1625045566.369525050,1625045566.370515916
1625045568.370350250,1625045568.371364346
1625045570.370274790,1625045570.371312078
1625045572.370004210,1625045572.371064736
1625045574.369805770,1625045574.370889579
1625045576.369572030,1625045576.370679133
1625045578.370419170,1625045578.371549538
1625045580.371255730,1625045580.372409328
1625045582.370916310,1625045582.372093160
1625045584.370633290,1625045584.371833390
1625045586.370508970,1625045586.371732346
1625045588.370531790,1625045588.371778455
1625045590.371218650,1625045590.372488589
1625045592.370996150,1625045592.372289311
1625045594.370805310,1625045594.372121670
1625045596.370566710,1625045596.371906326
1625045598.371280650,1625045598.372643540
1625045600.371045190,1625045600.372431371
1625045602.370912730,1625045602.372322231
1625045604.370540850,1625045604.371973615
1625045606.371199350,1625045606.372655335
1625045608.370910170,1625045608.372389356
1625045610.370569510,1625045610.372071925
1625045612.371287050,1625045612.372812710
1625045614.371035350,1625045614.372584250
1625045616.370767190,1625045616.372339310
1625045618.370619210,1625045618.372214594
1625045620.371044370,1625045620.372663010
1625045622.370777770,1625045622.372419685
1625045624.371494490,1625045624.373159718
1625045626.372203130,1625045626.373891684
1625045628.371984710,1625045628.373696534
1625045630.371733810,1625045630.373468909
1625045632.372444870,1625045632.374203238
1625045634.373284670,1625045634.375066286
1625045636.372984350,1625045636.374789175
1625045638.372619570,1625045638.374447670
1625045640.373353470,1625045640.375204891
1625045642.373151990,1625045642.375026689
1625045644.372859990,1625045644.374757955
1625045646.372626910,1625045646.374548153
1625045648.373401650,1625045648.375346179
1625045650.374223370,1625045650.376191141
1625045652.373564090,1625045652.375555066
1625045654.374325130,1625045654.376339334
1625045656.373979870,1625045656.376017303
1625045658.374039450,1625045658.376100121
1625045660.373691130,1625045660.375775061
1625045662.374452630,1625045662.376559829
1625045664.375447110,1625045664.377577539
1625045666.375567410,1625045666.377721054
1625045668.376282330,1625045668.378459204
1625045670.375780610,1625045670.377980733
