t1,t2
0000000025.025719540,0000000025.025872193
0000000025.089197060,0000000025.089271948
0000000025.153367220,0000000025.153539595
0000000025.217341020,0000000025.217486400
0000000025.281325780,0000000025.281470910
0000000025.337395140,0000000025.337586800
0000000025.401372820,0000000025.401560163
0000000025.465240180,0000000025.465314871
0000000025.529187460,0000000025.529260141
0000000025.593188260,0000000025.593265590
0000000025.657319860,0000000025.657349020
0000000025.713188460,0000000025.713263831
0000000025.777180500,0000000025.777259577
0000000025.841189860,0000000025.841262380
0000000025.905189340,0000000025.905268265
0000000025.969181580,0000000025.969263207
0000000026.025174340,0000000026.025257658
0000000026.089190140,0000000026.089271056
0000000026.153186260,0000000026.153267418
0000000026.217188940,0000000026.217266380
0000000026.281174980,0000000026.281301436
0000000026.337233380,0000000026.337311458
0000000026.401179660,0000000026.401262697
0000000026.465183500,0000000026.465265956
0000000026.529179060,0000000026.529261485
0000000026.593186700,0000000026.593266633
0000000026.657184060,0000000026.657270223
0000000026.713328300,0000000026.713415896
0000000026.777185180,0000000026.777271872
0000000026.841184220,0000000026.841271321
0000000026.905177260,0000000026.905260575
0000000026.969186900,0000000026.969271350
0000000027.025171580,0000000027.025257948
0000000027.089174820,0000000027.089254586
0000000027.153183060,0000000027.153268872
0000000027.217183140,0000000027.217275712
0000000027.281176100,0000000027.281265966
0000000027.337169500,0000000027.337253871
0000000027.401324700,0000000027.401482657
0000000027.465436180,0000000027.465734930
0000000027.529190020,0000000027.529276417
0000000027.593184740,0000000027.593315886
0000000027.657287780,0000000027.657332025
0000000027.713261100,0000000027.713358476
0000000027.777179660,0000000027.777275926
0000000027.841174300,0000000027.841261718
0000000027.905288180,0000000027.905380996
0000000027.969181420,0000000027.969275263
0000000028.025170140,0000000028.025264145
0000000028.089180380,0000000028.089302350
0000000028.153180620,0000000028.153277082
0000000028.217190260,0000000028.217286993
0000000028.281175500,0000000028.281307067
0000000028.337174940,0000000028.337269712
0000000028.401176020,0000000028.401371786
0000000028.465181860,0000000028.465282182
0000000028.529180780,0000000028.529388161
0000000028.593185580,0000000028.593288232
0000000028.657185900,0000000028.657365500
0000000028.713222220,0000000028.713322748
0000000028.777284980,0000000028.777390841
0000000028.841178100,0000000028.841273578
0000000028.905190700,0000000028.905295043
0000000028.969188420,0000000028.969290706
0000000029.025178460,0000000029.025281992
0000000029.089182260,0000000029.089368818
0000000029.153176940,0000000029.153378146
0000000029.217211580,0000000029.217405703
0000000029.281192620,0000000029.281300666
0000000029.337172700,0000000029.337273997
0000000029.401225740,0000000029.401439117
0000000029.465192660,0000000029.465295437
0000000029.529176580,0000000029.529284940
