t1,t2
1625001201.018922101,1625001201.018922577
1625001202.018967721,1625001202.018967327
1625001203.019165001,1625001203.019165336
1625001204.019176061,1625001204.019175936
1625001205.019018701,1625001205.019018993
1625001206.019137461,1625001206.019137436
1625001207.019143281,1625001207.019143549
1625001208.019381801,1625001208.019381843
1625001209.019030981,1625001209.019031242
1625001210.019132301,1625001210.019132373
1625001211.019242881,1625001211.019243123
1625001212.019294641,1625001212.019294751
1625001213.019327561,1625001213.019327783
1625001214.019366261,1625001214.019366382
1625001215.019372941,1625001215.019373163
1625001216.019429701,1625001216.019429837
1625001217.019353101,1625001217.019353308
1625001218.019398381,1625001218.019398516
1625001219.019413441,1625001219.019413641
1625001220.019404661,1625001220.019404809
1625001221.019383561,1625001221.019383749
1625001222.019426021,1625001222.019426176
1625001223.019452801,1625001223.019452979
1625001224.019409361,1625001224.019409529
1625001225.019346421,1625001225.019346593
1625001226.019403801,1625001226.019403969
1625001227.019544121,1625001227.019544288
1625001228.019507701,1625001228.019507868
1625001229.019455601,1625001229.019455759
1625001230.019540761,1625001230.019540939
1625001231.019376761,1625001231.019376929
1625001232.019646521,1625001232.019646696
1625001233.020534821,1625001233.020534993
1625001234.020599841,1625001234.020600016
1625001235.021401741,1625001235.021401909
1625001236.021550721,1625001236.021550907
1625001237.020970081,1625001237.020970252
1625001238.021010681,1625001238.021010864
1625001239.021534861,1625001239.021535036
1625001240.021597921,1625001240.021598111
1625001241.022008961,1625001241.022009141
1625001242.022042761,1625001242.022042932
1625001243.022551681,1625001243.022551864
1625001244.021789321,1625001244.021789498
1625001245.022502241,1625001245.022502437
1625001246.021856761,1625001246.021856946
1625001247.022628621,1625001247.022628812
1625001248.022738361,1625001248.022738542
1625001249.023094841,1625001249.023095049
1625001250.022897941,1625001250.022898107
1625001251.023568321,1625001251.023568523
1625001252.023416621,1625001252.023416804
1625001253.022688061,1625001253.022688259
1625001254.022757341,1625001254.022757528
1625001255.022967101,1625001255.022967286
1625001256.022822781,1625001256.022822962
1625001257.023628761,1625001257.023628949
1625001258.023907481,1625001258.023907681
1625001259.024506001,1625001259.024506192
1625001260.024489061,1625001260.024489256
1625001261.024331401,1625001261.024331591
1625001262.024271401,1625001262.024271601
1625001263.024326961,1625001263.024327142
1625001264.023991281,1625001264.023991473
1625001265.023927601,1625001265.023927778
1625001266.023994041,1625001266.023994251
1625001267.024558061,1625001267.024558241
1625001268.024450841,1625001268.024451039
1625001269.024021401,1625001269.024021594
1625001270.024136961,1625001270.024137151
1625001271.024405001,1625001271.024405191
1625001272.024116841,1625001272.024117038
1625001273.024420781,1625001273.024420969
1625001274.024400761,1625001274.024400959
1625001275.024130001,1625001275.024130178
1625001276.024511601,1625001276.024511802
1625001277.024480961,1625001277.024481149
1625001278.024467181,1625001278.024467369
1625001279.024242401,1625001279.024242583
1625001280.024429621,1625001280.024429814
1625001281.023820761,1625001281.023820951
1625001282.023757521,1625001282.023757718
1625001283.024243081,1625001283.024243259
1625001284.024262201,1625001284.024262412
1625001285.024627161,1625001285.024627343
1625001286.025624941,1625001286.025625136
1625001287.025668161,1625001287.025668354
1625001288.025853561,1625001288.025853758
1625001289.025765541,1625001289.025765751
1625001290.026371181,1625001290.026371373
1625001291.026480081,1625001291.026480289
1625001292.026485901,1625001292.026486096
1625001293.026628561,1625001293.026628768
1625001294.027459481,1625001294.027459683
1625001295.026844461,1625001295.026844669
1625001296.026766981,1625001296.026767182
1625001297.027342661,1625001297.027342877
1625001298.027413581,1625001298.027413786
1625001299.027409841,1625001299.027410046
1625001300.027509341,1625001300.027509557
1625001301.027483781,1625001301.027483986
1625001302.027464401,1625001302.027464604
1625001303.027552781,1625001303.027552992
1625001304.027421701,1625001304.027421911
1625001305.027001961,1625001305.027002167
1625001306.027480641,1625001306.027480858
1625001307.026961281,1625001307.026961488
1625001308.026955601,1625001308.026955822
1625001309.027631441,1625001309.027631654
1625001310.028623661,1625001310.028623873
1625001311.028979101,1625001311.028979322
1625001312.028782961,1625001312.028783173
1625001313.029425461,1625001313.029425674
1625001314.029076581,1625001314.029076803
1625001315.029168281,1625001315.029168491
1625001316.028823061,1625001316.028823274
1625001317.028838801,1625001317.028839018
1625001318.029080701,1625001318.029080907
1625001319.028915501,1625001319.028915712
1625001320.029122881,1625001320.029123089
1625001321.028946661,1625001321.028946876
1625001322.028949941,1625001322.028950152
1625001323.028813261,1625001323.028813477
1625001324.028798981,1625001324.028799192
1625001325.029206461,1625001325.029206664
1625001326.029004961,1625001326.029005172
1625001327.028935581,1625001327.028935784
1625001328.028998261,1625001328.028998489
1625001329.029323461,1625001329.029323673
1625001330.029113641,1625001330.029113867
1625001331.029056761,1625001331.029056969
1625001332.029269821,1625001332.029270058
1625001333.029212961,1625001333.029213167
1625001334.029114821,1625001334.029115068
1625001335.029106801,1625001335.029107009
1625001336.029046561,1625001336.029046806
1625001337.029441341,1625001337.029441544
1625001338.029192701,1625001338.029192934
1625001339.029226281,1625001339.029226503
1625001340.029232761,1625001340.029232996
1625001341.029246921,1625001341.029247146
1625001342.029257501,1625001342.029257727
1625001343.029272281,1625001343.029272502
1625001344.029257061,1625001344.029257278
1625001345.029315041,1625001345.029315261
1625001346.029319941,1625001346.029320153
1625001347.029171041,1625001347.029171266
1625001348.029357001,1625001348.029357221
1625001349.029377881,1625001349.029378097
1625001350.029374741,1625001350.029374968
1625001351.029401841,1625001351.029402066
1625001352.029402161,1625001352.029402383
1625001353.029438241,1625001353.029438458
1625001354.029391721,1625001354.029391933
1625001355.029192321,1625001355.029192532
1625001356.029465501,1625001356.029465708
1625001357.029538341,1625001357.029538567
1625001358.028933561,1625001358.028933767
1625001359.028956341,1625001359.028956553
1625001360.029495961,1625001360.029496182
1625001361.029559761,1625001361.029559963
1625001362.028661121,1625001362.028661329
1625001363.029496261,1625001363.029496484
1625001364.029106921,1625001364.029107112
1625001365.029436881,1625001365.029437103
1625001366.029105661,1625001366.029105857
1625001367.029455321,1625001367.029455533
1625001368.029423241,1625001368.029423451
1625001369.029498021,1625001369.029498234
1625001370.029372401,1625001370.029372592
1625001371.029562941,1625001371.029563149
1625001372.030324941,1625001372.030325133
1625001373.029914341,1625001373.029914557
1625001374.029947081,1625001374.029947283
1625001375.029819541,1625001375.029819762
1625001376.029818501,1625001376.029818702
1625001377.029881621,1625001377.029881826
1625001378.029833621,1625001378.029833828
1625001379.029862181,1625001379.029862382
1625001380.029909921,1625001380.029910137
1625001381.029948641,1625001381.029948826
1625001382.029946821,1625001382.029947042
1625001383.029966301,1625001383.029966502
1625001384.030036801,1625001384.030037017
1625001385.029964881,1625001385.029965087
1625001386.030012721,1625001386.030012926
1625001387.030062461,1625001387.030062667
1625001388.030009601,1625001388.030009811
1625001389.030028301,1625001389.030028506
1625001390.029922701,1625001390.029922918
1625001391.029924001,1625001391.029924208
1625001392.030045481,1625001392.030045704
1625001393.029936001,1625001393.029936199
1625001394.030122361,1625001394.030122554
1625001395.029994801,1625001395.029994984
1625001396.030259141,1625001396.030259301
1625001397.030286781,1625001397.030286929
1625001398.030192121,1625001398.030192261
1625001399.030077001,1625001399.030077143
1625001400.030206681,1625001400.030206854
1625001401.030007621,1625001401.030007797
1625001402.030208201,1625001402.030208371
1625001403.030215021,1625001403.030215192
1625001404.030034621,1625001404.030034776
1625001405.030313201,1625001405.030313373
1625001406.029999901,1625001406.030000063
1625001407.030378561,1625001407.030378718
1625001408.030067641,1625001408.030067803
1625001409.030102001,1625001409.030102182
1625001410.029981781,1625001410.029981953
1625001411.030371121,1625001411.030371281
1625001412.030235721,1625001412.030235876
1625001413.030478341,1625001413.030478507
1625001414.030515581,1625001414.030515739
1625001415.029939541,1625001415.029939699
1625001416.030495221,1625001416.030495387
1625001417.030355781,1625001417.030355934
1625001418.030563841,1625001418.030564008
1625001419.030390521,1625001419.030390687
1625001420.030289481,1625001420.030289642
1625001421.030159501,1625001421.030159661
1625001422.030644561,1625001422.030644726
1625001423.031646961,1625001423.031647136
1625001424.032657941,1625001424.032658116
1625001425.032682041,1625001425.032682198
1625001426.033633721,1625001426.033633878
1625001427.034634241,1625001427.034634397
1625001428.034844461,1625001428.034844628
1625001429.034943121,1625001429.034943291
1625001430.034727741,1625001430.034727908
1625001431.034741181,1625001431.034741343
1625001432.034777221,1625001432.034777387
1625001433.034765941,1625001433.034766088
1625001434.034800521,1625001434.034800681
1625001435.034770021,1625001435.034770186
1625001436.035109401,1625001436.035109571
1625001437.034783881,1625001437.034784038
1625001438.034827661,1625001438.034827824
1625001439.034923501,1625001439.034923658
1625001440.034854481,1625001440.034854639
1625001441.034874301,1625001441.034874457
1625001442.034940021,1625001442.034940171
1625001443.034947561,1625001443.034947734
1625001444.034973601,1625001444.034973753
1625001445.034917961,1625001445.034918134
1625001446.035019581,1625001446.035019751
1625001447.034943361,1625001447.034943518
1625001448.035007501,1625001448.035007652
1625001449.035008441,1625001449.035008607
1625001450.035043421,1625001450.035043571
1625001451.035051101,1625001451.035051248
1625001452.035075801,1625001452.035075968
1625001453.035422341,1625001453.035422488
1625001454.035096241,1625001454.035096399
1625001455.035408741,1625001455.035408894
1625001456.035138721,1625001456.035138869
1625001457.035232961,1625001457.035233113
1625001458.035172841,1625001458.035172998
1625001459.035125901,1625001459.035126049
1625001460.035159081,1625001460.035159224
