t1,t2
1620370108:880674249,1620370108:880753490
1620370109:880720429,1620370109:880811443
1620370110:880707409,1620370110:880810228
1620370111:880699289,1620370111:880810118
1620370112:880681929,1620370112:880793797
1620370113:880782809,1620370113:880888698
1620370114:880703549,1620370114:880797760
1620370115:880711309,1620370115:880793296
1620370116:880746869,1620370116:880816661
1620370117:880750709,1620370117:880808281
1620370118:880711069,1620370118:880756431
1620370119:880804609,1620370119:880837785
1620370120:880747049,1620370120:880768016
1620370121:880773409,1620370121:880782192
1620370122:880813009,1620370122:880809596
1620370123:880840829,1620370123:880825216
1620370124:880789409,1620370124:880761612
1620370125:880862569,1620370125:880822593
1620370126:880743209,1620370126:880691056
1620370127:880832249,1620370127:880767921
1620370128:880797289,1620370128:880720777
1620370129:880901229,1620370129:880812532
1620370130:880835589,1620370130:880738477
1620370131:881092309,1620370131:880993766
1620370132:880864949,1620370132:880771983
1620370133:880990549,1620370133:880908823
1620370134:880852309,1620370134:880782377
1620370135:880936489,1620370135:880878373
1620370136:880862329,1620370136:880816002
1620370137:880951009,1620370137:880916493
1620370138:880961389,1620370138:880938683
1620370139:880890549,1620370139:880879650
1620370140:880922929,1620370140:880923831
1620370141:881009869,1620370141:881022602
1620370142:880921889,1620370142:880946420
1620370143:881217389,1620370143:881253737
1620370144:881205549,1620370144:881253706
1620370145:881301889,1620370145:881361851
1620370146:880967929,1620370146:881039706
1620370147:880999269,1620370147:881082850
1620370148:881315189,1620370148:881410592
1620370149:881006789,1620370149:881110218
1620370150:880950189,1620370150:881054652
1620370151:881040329,1620370151:881138840
1620370152:881598069,1620370152:881684905
1620370153:882040529,1620370153:882115148
1620370154:882043389,1620370154:882105798
1620370155:881770269,1620370155:881820470
1620370156:882026689,1620370156:882064675
1620370157:882133629,1620370157:882159401
1620370158:882066809,1620370158:882080378
1620370159:882168769,1620370159:882170157
1620370160:882091509,1620370160:882080698
1620370161:882155929,1620370161:882132940
1620370162:882071749,1620370162:882036576
1620370163:882161529,1620370163:882114171
1620370164:882500629,1620370164:882441088
1620370165:882213229,1620370165:882141507
1620370166:882094789,1620370166:882010875
1620370167:882200309,1620370167:882104210
1620370168:882200729,1620370168:882096207
1620370169:882180289,1620370169:882074372
1620370170:882160169,1620370170:882059812
1620370171:882237969,1620370171:882148870
1620370172:882603809,1620370172:882526512
1620370173:883602409,1620370173:883536926
1620370174:884239329,1620370174:884185640
